#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
NADH-13C15	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00266612983501449	calculated from standard	uM	9407.20546275	natural abundance corrected peak area	0.000329278677293978	protein normalized	uMol/g	8835.44424386357	spectrometer peak area
NADH-13C15	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000559111101711094	calculated from standard	uM	1972.77452179	natural abundance corrected peak area	8.51972159916932e-05	protein normalized	uMol/g	1854.05496003184	spectrometer peak area
NADH-13C15	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000145833116387578	calculated from standard	uM	514.559370333	natural abundance corrected peak area	4.0853649472304e-05	protein normalized	uMol/g	513.691878682164	spectrometer peak area
NADH-13C15	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000118533191331508	calculated from standard	uM	418.233977343	natural abundance corrected peak area	4.39724301348432e-05	protein normalized	uMol/g	425.272258622312	spectrometer peak area
NADH-13C15	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000146230586160661	calculated from standard	uM	515.961807593	natural abundance corrected peak area	7.12949458795409e-05	protein normalized	uMol/g	488.160107123967	spectrometer peak area
NADH-13C16	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000116168342747476	calculated from standard	uM	409.88981637	natural abundance corrected peak area	7.19088294004626e-05	protein normalized	uMol/g	394.199999186305	spectrometer peak area
NADH-13C16	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000132805475115699	calculated from standard	uM	468.59247985	natural abundance corrected peak area	6.8851738012194e-05	protein normalized	uMol/g	477.522188365733	spectrometer peak area
NADH-13C17	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000261680698968234	calculated from standard	uM	827.681724273	natural abundance corrected peak area	6.67834061799747e-05	protein normalized	uMol/g	801.180549291018	spectrometer peak area
NADH-13C17	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000279119141909264	calculated from standard	uM	984.847430175	natural abundance corrected peak area	4.25321081049602e-05	protein normalized	uMol/g	946.444120329025	spectrometer peak area
NADH-13C18	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000173763034364067	calculated from standard	uM	613.10763813	natural abundance corrected peak area	9.00857958440022e-05	protein normalized	uMol/g	606.422881518501	spectrometer peak area
NADH-13C18	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000260430554595347	calculated from standard	uM	918.906387709	natural abundance corrected peak area	3.21643107615676e-05	protein normalized	uMol/g	890.179718246809	spectrometer peak area
NADH-13C18	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00010248409348488	calculated from standard	uM	361.606142137	natural abundance corrected peak area	4.9966276483982e-05	protein normalized	uMol/g	353.772851718465	spectrometer peak area
NADH-13C19	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000333260985994262	calculated from standard	uM	1054.08625324	natural abundance corrected peak area	8.50513770383017e-05	protein normalized	uMol/g	1033.74488094747	spectrometer peak area
NADH-13C19	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00010049265272557	calculated from standard	uM	354.579517948	natural abundance corrected peak area	6.22054929074036e-05	protein normalized	uMol/g	352.540493460583	spectrometer peak area
NADH-13C19	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	3.95504515405107e-05	calculated from standard	uM	139.550302052	natural abundance corrected peak area	2.05045561966392e-05	protein normalized	uMol/g	159.832135782171	spectrometer peak area
NADH-13C19	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00120494479411326	calculated from standard	uM	4251.54210445	natural abundance corrected peak area	0.000148815943922597	protein normalized	uMol/g	4193.5981337826	spectrometer peak area
NADH-13C19	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000116662934516815	calculated from standard	uM	411.634940082	natural abundance corrected peak area	1.77770700668178e-05	protein normalized	uMol/g	403.727506039432	spectrometer peak area
NADH-13C19	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000491629437220454	calculated from standard	uM	1734.67138274	natural abundance corrected peak area	0.000182380486322588	protein normalized	uMol/g	1708.78649866043	spectrometer peak area
NADH-13C19	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00010460741159427	calculated from standard	uM	369.098083998	natural abundance corrected peak area	5.10015034749186e-05	protein normalized	uMol/g	377.039491955058	spectrometer peak area
NADH-13C19	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	9.24333857371586e-05	calculated from standard	uM	326.143100695	natural abundance corrected peak area	4.29376719354927e-05	protein normalized	uMol/g	324.482160254914	spectrometer peak area
NADH-13C2	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	22743.1810462304	spectrometer peak area
NADH-13C2	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	18549.4395433004	spectrometer peak area
NADH-13C2	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	2648.96897354609	spectrometer peak area
NADH-13C2	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	3588.39761235512	spectrometer peak area
NADH-13C2	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000193568276428961	calculated from standard	uM	682.988699021	natural abundance corrected peak area	0.000119819804930239	protein normalized	uMol/g	1832.28421508685	spectrometer peak area
NADH-13C2	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000992248437529168	calculated from standard	uM	3501.06165099	natural abundance corrected peak area	0.00051442178422425	protein normalized	uMol/g	4468.15156739255	spectrometer peak area
NADH-13C2	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00362527068920951	calculated from standard	uM	12791.4499075	natural abundance corrected peak area	0.000447736761240304	protein normalized	uMol/g	17622.8378969575	spectrometer peak area
NADH-13C2	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00279451010698279	calculated from standard	uM	9860.18400112	natural abundance corrected peak area	0.000425826781916784	protein normalized	uMol/g	14210.3081590413	spectrometer peak area
NADH-13C2	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	8.63601343170515e-05	calculated from standard	uM	304.71416532	natural abundance corrected peak area	2.4192904486751e-05	protein normalized	uMol/g	1737.07542186838	spectrometer peak area
NADH-13C2	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000176293025377208	calculated from standard	uM	622.034489691	natural abundance corrected peak area	6.53996796557929e-05	protein normalized	uMol/g	1879.19363541073	spectrometer peak area
NADH-13C2	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000172514770241325	calculated from standard	uM	608.703247571	natural abundance corrected peak area	8.41098400184456e-05	protein normalized	uMol/g	786.837925628036	spectrometer peak area
NADH-13C2	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000282012161131802	calculated from standard	uM	995.055194957	natural abundance corrected peak area	0.000131001862151077	protein normalized	uMol/g	1219.7639469116	spectrometer peak area
NADH-13C2	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00029827774083141	calculated from standard	uM	1035.17669179	natural abundance corrected peak area	0.000152340093269099	protein normalized	uMol/g	1142.93339038578	spectrometer peak area
NADH-13C2	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	5.10746462347486e-05	calculated from standard	uM	177.255209109	natural abundance corrected peak area	1.83910520124381e-05	protein normalized	uMol/g	733.230795154762	spectrometer peak area
NADH-13C20	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	8.59627305546774e-05	calculated from standard	uM	303.311960973	natural abundance corrected peak area	5.3211392880859e-05	protein normalized	uMol/g	312.851779872102	spectrometer peak area
NADH-13C21	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000257853553980711	calculated from standard	uM	815.576674207	natural abundance corrected peak area	6.5806682335919e-05	protein normalized	uMol/g	817.53345067014	spectrometer peak area
NADH-13C21	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000594169814204185	calculated from standard	uM	2096.47611627	natural abundance corrected peak area	7.33825667226365e-05	protein normalized	uMol/g	2099.97103009401	spectrometer peak area
NADH-13C21	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000100230848448802	calculated from standard	uM	353.655764502	natural abundance corrected peak area	4.65597928085054e-05	protein normalized	uMol/g	359.8314244953	spectrometer peak area
NADH-13C21	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000143216751041109	calculated from standard	uM	497.035555313	natural abundance corrected peak area	6.91793743064701e-05	protein normalized	uMol/g	536.328815890184	spectrometer peak area
NADH-13C3	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.03094599411976	calculated from standard	uM	97880.4851614	natural abundance corrected peak area	0.00789771237653991	protein normalized	uMol/g	83434.3382772758	spectrometer peak area
NADH-13C3	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0244551200513516	calculated from standard	uM	77350.2058471	natural abundance corrected peak area	0.00686484413540521	protein normalized	uMol/g	65272.2532964851	spectrometer peak area
NADH-13C3	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00898979694213099	calculated from standard	uM	28434.2355522	natural abundance corrected peak area	0.0107227951334524	protein normalized	uMol/g	25490.8527221211	spectrometer peak area
NADH-13C3	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00364472664636512	calculated from standard	uM	12860.0985472	natural abundance corrected peak area	0.00113971377382448	protein normalized	uMol/g	11035.3875384151	spectrometer peak area
NADH-13C3	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000190543119656881	calculated from standard	uM	672.314698476	natural abundance corrected peak area	0.000117947216606362	protein normalized	uMol/g	806.182117637394	spectrometer peak area
NADH-13C3	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0017638800064932	calculated from standard	uM	6223.69601615	natural abundance corrected peak area	0.00091446684698966	protein normalized	uMol/g	5976.8974578599	spectrometer peak area
NADH-13C3	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.146821540302741	calculated from standard	uM	518046.937492	natural abundance corrected peak area	0.0181331013794713	protein normalized	uMol/g	427348.57746721	spectrometer peak area
NADH-13C3	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0283046969598233	calculated from standard	uM	99870.642594	natural abundance corrected peak area	0.00431306295490365	protein normalized	uMol/g	84090.5513465411	spectrometer peak area
NADH-13C3	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0093268359921171	calculated from standard	uM	32908.9233926	natural abundance corrected peak area	0.00261281729243823	protein normalized	uMol/g	27343.0121459809	spectrometer peak area
NADH-13C3	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00457733899521424	calculated from standard	uM	16150.7394858	natural abundance corrected peak area	0.00169806209475649	protein normalized	uMol/g	13539.6891926362	spectrometer peak area
NADH-13C3	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000930579408883916	calculated from standard	uM	3283.4678881	natural abundance corrected peak area	0.000453705413723099	protein normalized	uMol/g	2844.06617286758	spectrometer peak area
NADH-13C3	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00083615677265412	calculated from standard	uM	2950.30589138	natural abundance corrected peak area	0.000388416208110723	protein normalized	uMol/g	2663.92656503399	spectrometer peak area
NADH-13C3	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00102223357971687	calculated from standard	uM	3547.67463485	natural abundance corrected peak area	0.000493779386320371	protein normalized	uMol/g	3165.80861074251	spectrometer peak area
NADH-13C3	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	4.03051123936237e-05	calculated from standard	uM	139.879404992	natural abundance corrected peak area	2.05851250051428e-05	protein normalized	uMol/g	322.467793752777	spectrometer peak area
NADH-13C3	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00223098912355206	calculated from standard	uM	7742.67611757	natural abundance corrected peak area	0.000803338643244772	protein normalized	uMol/g	6447.76782130076	spectrometer peak area
NADH-13C4	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000957458174960869	calculated from standard	uM	3028.38778823	natural abundance corrected peak area	0.000244352443458243	protein normalized	uMol/g	18920.4508400986	spectrometer peak area
NADH-13C4	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00520969589411853	calculated from standard	uM	16477.9828913	natural abundance corrected peak area	0.00146242382907491	protein normalized	uMol/g	26573.893130237	spectrometer peak area
NADH-13C4	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	452.160544942458	spectrometer peak area
NADH-13C4	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000153267160039534	calculated from standard	uM	540.789741838	natural abundance corrected peak area	4.79269669088148e-05	protein normalized	uMol/g	2607.11900360025	spectrometer peak area
NADH-13C4	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000442807930547467	calculated from standard	uM	1562.40897517	natural abundance corrected peak area	0.000274100492284087	protein normalized	uMol/g	1447.37282716263	spectrometer peak area
NADH-13C4	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000363259514799281	calculated from standard	uM	1281.72936184	natural abundance corrected peak area	0.000188328447465042	protein normalized	uMol/g	2206.16508464707	spectrometer peak area
NADH-13C4	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	26936.4069475572	spectrometer peak area
NADH-13C4	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	10340.6946460929	spectrometer peak area
NADH-13C4	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1776.17382040196	spectrometer peak area
NADH-13C4	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1215.03033030923	spectrometer peak area
NADH-13C4	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000193729710652037	calculated from standard	uM	683.558305529	natural abundance corrected peak area	9.44532166548327e-05	protein normalized	uMol/g	1132.34261885511	spectrometer peak area
NADH-13C4	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	7.70619602893782e-05	calculated from standard	uM	271.906373157	natural abundance corrected peak area	3.57972516447713e-05	protein normalized	uMol/g	744.12549503536	spectrometer peak area
NADH-13C4	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	428.481767273105	spectrometer peak area
NADH-13C4	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.000224453276239928	calculated from standard	uM	778.967948838	natural abundance corrected peak area	0.000114635550549754	protein normalized	uMol/g	690.686929644612	spectrometer peak area
NADH-13C4	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.000108529850802028	calculated from standard	uM	376.654227032	natural abundance corrected peak area	3.90796271368844e-05	protein normalized	uMol/g	1604.9016699534	spectrometer peak area
NADH-13C5	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0552763583277143	calculated from standard	uM	174836.095106	natural abundance corrected peak area	0.0141070530035449	protein normalized	uMol/g	148625.082338763	spectrometer peak area
NADH-13C5	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0495463551102883	calculated from standard	uM	156712.408637	natural abundance corrected peak area	0.0139082533471663	protein normalized	uMol/g	135161.422387107	spectrometer peak area
NADH-13C5	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0180167386395294	calculated from standard	uM	56985.9579317	natural abundance corrected peak area	0.0214898955614047	protein normalized	uMol/g	49460.4947803908	spectrometer peak area
NADH-13C5	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0028209827998669	calculated from standard	uM	9953.59057789	natural abundance corrected peak area	0.000882127321108339	protein normalized	uMol/g	8624.8694863767	spectrometer peak area
NADH-13C5	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0019329592487506	calculated from standard	uM	6820.27730432	natural abundance corrected peak area	0.00119651217852528	protein normalized	uMol/g	6063.20990291811	spectrometer peak area
NADH-13C5	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0014615843976193	calculated from standard	uM	5157.07245348	natural abundance corrected peak area	0.000757744557895102	protein normalized	uMol/g	4719.33173507542	spectrometer peak area
NADH-13C5	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0374355721874125	calculated from standard	uM	132088.135603	natural abundance corrected peak area	0.00462345664180582	protein normalized	uMol/g	118842.031408466	spectrometer peak area
NADH-13C5	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.012223428207779	calculated from standard	uM	43129.2951677	natural abundance corrected peak area	0.00186260306760144	protein normalized	uMol/g	37708.9876546366	spectrometer peak area
NADH-13C5	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00311218515407881	calculated from standard	uM	10981.0725637	natural abundance corrected peak area	0.000871846700716012	protein normalized	uMol/g	9791.16540276341	spectrometer peak area
NADH-13C5	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.00167673421250622	calculated from standard	uM	5916.20971954	natural abundance corrected peak area	0.000622020525946413	protein normalized	uMol/g	5242.62476642698	spectrometer peak area
NADH-13C5	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00036600200995098	calculated from standard	uM	1291.40601563	natural abundance corrected peak area	0.000178444839594564	protein normalized	uMol/g	1254.94805602463	spectrometer peak area
NADH-13C5	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0010064602288042	calculated from standard	uM	3551.20671098	natural abundance corrected peak area	0.000467526519513208	protein normalized	uMol/g	3114.49358341101	spectrometer peak area
NADH-13C5	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.000927696990175432	calculated from standard	uM	3219.58419893	natural abundance corrected peak area	0.000448114461889382	protein normalized	uMol/g	2966.74042015796	spectrometer peak area
NADH-13C5	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00155599466706575	calculated from standard	uM	5400.09927461	natural abundance corrected peak area	0.000794696821983089	protein normalized	uMol/g	4666.75300884307	spectrometer peak area
NADH-13C5	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00340678513966786	calculated from standard	uM	11823.2911403	natural abundance corrected peak area	0.0012267214228144	protein normalized	uMol/g	10128.8763540392	spectrometer peak area
NADH-13C6	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	7069.6708794325	spectrometer peak area
